Product list for reactant/KHP.xyz
Index      Indicator                      N-adj_mats      Pathways                                                                                            
87         COCO.C#[O]                     1               [(5, [0]), (16, [0])]                                                                               
88         COCOC=O                        3               [(5, [0]), (6, [1]), (17, [2]), (18, [0])]                                                          
89         OCOC=C=O.[H][H]                2               [(5, [0, 1]), (20, [0])]                                                                            
90         C1OCOC1=O.[H][H]               1               [(5, [0]), (25, [0])]                                                                               
91         OC1COOC1                       6               [(6, [0, 1, 2]), (21, [3]), (22, [3, 4, 5])]                                                        
92         COOC.C#[O]                     1               [(6, [0]), (16, [0])]                                                                               
93         COO/C=C\O                      2               [(6, [0, 1]), (19, [0])]                                                                            
94         C#C.OOC=O.[H][H]               4               [(7, [0, 1, 2, 3]), (13, [0])]                                                                      
95         OOC(=O)C=C.[H][H]              10              [(7, [0, 1, 2, 3]), (8, [2, 4]), (10, [2, 3, 5, 6, 7, 8]), (13, [5]), (20, [2]), (25, [4, 9])]      
96         OC=C.OC=O                      8               [(7, [0, 1, 2, 3]), (8, [2, 4]), (12, [5, 6]), (15, [0, 5]), (17, [2, 3]), (21, [2]), (24, [6, 7])] 
97         C=COOC=O.[H][H]                12              [(7, [0, 1, 2, 3]), (12, [4, 5]), (13, [6]), (18, [4, 6, 7, 8, 9, 10]), (25, [5, 11])]              
98         C=C.C#[O].OO                   3               [(7, [0]), (8, [1]), (16, [0, 1, 2])]                                                               
99         C=C.C=O.O=O                    3               [(7, [0]), (11, [0, 1, 2]), (12, [1])]                                                              
100        C=C.O=C=O.O                    1               [(7, [0])]                                                                                          
101        C=C.OC(=O)O                    1               [(7, [0]), (24, [0])]                                                                               
102        C#C.C=O.OO                     3               [(8, [0, 1]), (12, [0, 2])]                                                                         
103        O=CC#C.OO.[H][H]               3               [(8, [0, 1]), (13, [2])]                                                                            
104        O/C=C/C=O.O                    11              [(8, [0, 1, 2, 3]), (13, [0, 4]), (14, [0, 5, 6, 7]), (15, [1, 4, 8, 9]), (19, [6, 10]), (21, [0, 2])]
105        OC=C=C.OO                      2               [(8, [0]), (19, [1])]                                                                               
106        C=C=C=O.OO.[H][H]              2               [(8, [0]), (20, [1])]                                                                               
107        OC(=C)C=O.O                    2               [(8, [0, 1]), (21, [1])]                                                                            
108        OOC(=C)C=O.[H][H]              8               [(8, [0, 1]), (9, [0, 2, 3]), (12, [4, 5]), (13, [6, 7])]                                           
109        OC(=O)C=C.O                    3               [(8, [0, 1]), (24, [1, 2])]                                                                         
110        C=CC=O.O=O.[H][H]              6               [(8, [0]), (11, [0, 1, 2, 3, 4, 5]), (13, [2])]                                                     
111        C[C@H](OC=O)O                  6               [(9, [0]), (15, [1, 2]), (17, [0, 1, 3, 4]), (18, [2, 5])]                                          
112        C/C=C\OOO                      1               [(9, [0]), (19, [0])]                                                                               
113        OO/C(=C/O)/C                   2               [(9, [0]), (19, [1])]                                                                               
114        CC(=C=O)OO.[H][H]              2               [(9, [0]), (20, [1])]                                                                               
115        O=CC(O)(O)C                    3               [(9, [0]), (15, [1]), (21, [2])]                                                                    
116        OC(=O)[C@H](O)C                6               [(9, [0]), (10, [1, 2]), (21, [1]), (24, [0, 3, 4, 5])]                                             
117        CCOC(=O)O                      3               [(10, [0]), (17, [1]), (18, [2]), (24, [1])]                                                        
118        CCO.O=C=O                      2               [(10, [0]), (17, [0]), (18, [1]), (24, [1])]                                                        
119        C/C=C(/OO)\O                   2               [(10, [0, 1]), (19, [0])]                                                                           
120        CC.C#[O].O=O                   1               [(11, [0]), (16, [0])]                                                                              
121        C/C=C\O.O=O                    2               [(11, [0, 1]), (19, [0])]                                                                           
122        CC=C=O.O=O.[H][H]              2               [(11, [0, 1]), (20, [0])]                                                                           
123        OOC#C.C=O.[H][H]               3               [(12, [0, 1]), (13, [2])]                                                                           
124        OCC(=C)OO                      1               [(12, [0])]                                                                                         
125        OC(=C)O.C=O                    2               [(12, [0]), (15, [1])]                                                                              
126        OC/C=C/OO                      6               [(12, [0, 1]), (13, [0, 2]), (19, [0, 3, 4, 5]), (21, [5])]                                         
127        OOC=C.C#[O].[H][H]             6               [(12, [0]), (13, [1]), (16, [0, 1, 2, 3, 4, 5])]                                                    
128        OOC#CC=O.[H][H].[H][H]         1               [(13, [0])]                                                                                         
129        O=CC=C=O.O.[H][H]              6               [(13, [0]), (14, [1, 2, 3, 4]), (20, [3, 5])]                                                       
130        O=CC=C(O)O.[H][H]              3               [(13, [0]), (15, [1, 2])]                                                                           
131        O=CO/C=C/O.[H][H]              4               [(13, [0]), (17, [0, 1, 2, 3])]                                                                     
132        OOC=C=CO.[H][H]                3               [(13, [0]), (19, [1, 2])]                                                                           
133        OOC=C=C=O.[H][H].[H][H]        3               [(13, [0]), (20, [1, 2])]                                                                           
134        O/C=C(/C=O)\O.[H][H]           3               [(13, [0]), (21, [1, 2])]                                                                           
135        O[C@@H]1OOC=C1.[H][H]          5               [(13, [0, 1]), (22, [0, 2, 3, 4])]                                                                  
136        C1OOOC=C1.[H][H]               8               [(13, [0]), (19, [1]), (20, [2]), (23, [0, 1, 2, 3, 4, 5, 6, 7])]                                   
137        O/C=C\C(=O)O.[H][H]            4               [(13, [0]), (24, [0, 1, 2, 3])]                                                                     
138        O=c1ccoo1.[H][H].[H][H]        4               [(13, [0]), (25, [0, 1, 2, 3])]                                                                     
139        C#[O].CC=O.O                   3               [(14, [0, 1]), (16, [1, 2])]                                                                        
140        O=CCC(=O)O.[H][H]              7               [(14, [0, 1, 2, 3]), (15, [1, 4]), (24, [3, 5]), (25, [2, 6])]                                      
141        OC=[OH].CC=O                   1               [(15, [0, 0])]                                                                                      
142        O=CCC=[OH].O                   2               [(15, [0, 1])]                                                                                      
143        CC(O)O.C#[O]                   2               [(15, [0]), (16, [0, 1])]                                                                           
144        O/C=C\C(O)O                    3               [(15, [0, 1]), (19, [0, 2])]                                                                        
145        OC(C=C=O)O.[H][H]              3               [(15, [0, 1]), (20, [0, 2])]                                                                        
146        C/[O]=C\COO                    1               [(16, [0])]                                                                                         
147        C/C=[O]\COO                    1               [(16, [0])]                                                                                         
148        CC/C=[O]\OO                    1               [(16, [0])]                                                                                         
149        CCO/C=[O]\O                    2               [(16, [0, 1])]                                                                                      
150        C[C@H](C=[OH])OO               2               [(16, [0, 1])]                                                                                      
151        C[C@H]([O]=C)OO                2               [(16, [0, 1])]                                                                                      
152        OOCCC=[OH]                     4               [(16, [0, 1, 2]), (19, [1]), (22, [3])]                                                             
153        OOCC[O]=C                      3               [(16, [0, 1, 2])]                                                                                   
154        OCCO.C#[O]                     3               [(16, [0, 1, 2]), (17, [0]), (21, [1]), (24, [0])]                                                  
155        CCOOC=[OH]                     2               [(16, [0, 1]), (22, [0])]                                                                           
156        CCOO[O]=C                      1               [(16, [0])]                                                                                         
157        COC=O.C=[OH]                   2               [(17, [0, 1])]                                                                                      
158        O=COCC=[OH].[H][H]             1               [(17, [0])]                                                                                         
159        O=C1OCCO1.[H][H]               1               [(17, [0]), (25, [0])]                                                                              
160        OOCC#C.O                       1               [(19, [0])]                                                                                         
161        OOCC#CO.[H][H]                 2               [(19, [0]), (20, [1])]                                                                              
162        OC/C(=C\O)/O                   2               [(19, [0]), (21, [1])]                                                                              
163        C1OOC=C1.O                     3               [(19, [0, 1]), (22, [1, 2])]                                                                        
164        OCC=C(O)O                      2               [(19, [0]), (24, [0, 1])]                                                                           
165        OC1=CCOO1.[H][H]               5               [(19, [0]), (20, [1, 2]), (22, [1, 3]), (25, [0, 4])]                                               
166        OC(=C=O)CO.[H][H]              2               [(20, [0]), (21, [1])]                                                                              
167        OCC=C=O.O                      3               [(20, [0, 1]), (21, [1]), (24, [0, 2])]                                                             
168        CO.O=CC=[OH]                   1               [(21, [0])]                                                                                         
169        O=CC(C=[OH])O.[H][H]           1               [(21, [0])]                                                                                         
170        OCC=[OH].C=O                   1               [(21, [0])]                                                                                         
171        C=[OH].CC(=O)O                 2               [(24, [0, 1])]                                                                                      
172        [OH]=CCC(=O)O.[H][H]           1               [(24, [0])]                                                                                         
173        OCCOC=[OH]                     1               [(24, [0])]                                                                                         
